releve;espece;strate;abondance_dominance
R1;Avena barbata;Herbacée;2
R1;Carduus pycnocephalus;Herbacée;1
R1;Centaurea jacea;Herbacée;+
R1;Dactylis glomerata;Herbacée;4
R1;Galium album;Herbacée;2
R1;Malva sylvestris;Herbacée;2
R1;Medicago sativa;Herbacée;2
R1;Plantago lanceolata;Herbacée;2
R1;Poa pratensis;Herbacée;+
R1;Salvia pratensis;Herbacée;+
R1;Schedonorus arundinaceus;Herbacée;2
R1;Silene latifolia;Herbacée;2
R1;Tragopogon pratensis subsp. orientalis;Herbacée;1
R10;Acer campestre;Herbacée;2
R10;Alliaria petiolata;Herbacée;1
R10;Anthriscus sylvestris;Herbacée;1
R10;Arctium minus;Herbacée;2
R10;Brachypodium sylvaticum;Herbacée;4
R10;Celtis australis;Herbacée;+
R10;Chaerophyllum;Herbacée;3
R10;Chelidonium majus;Herbacée;+
R10;Clematis vitalba;Herbacée;1
R10;Conium maculatum;Herbacée;1
R10;Dipsacus fullonum;Herbacée;+
R10;Euphorbia amygdaloides;Herbacée;+
R10;Ficus carica;Herbacée;+
R10;Fraxinus angustifolia;Arborée;4
R10;Fraxinus angustifolia;Herbacée;+
R10;Hedera helix;Herbacée;3
R10;Humulus lupulus;Herbacée;2
R10;Laurus nobilis;Arbustive;2
R10;Laurus nobilis;Herbacée;+
R10;Ligustrum vulgare;Herbacée;+
R10;Melissa officinalis;Herbacée;+
R10;Picris hieracioides;Herbacée;+
R10;Quercus ilex;Herbacée;+
R10;Rubus ulmifolius;Herbacée;+
R10;Smilax aspera;Herbacée;+
R10;Smilax aspera;Herbacée;1
R10;Solanum dulcamara;Herbacée;+
R10;Sonchus asper subsp. asper;Herbacée;+
R10;Taraxacum;Herbacée;+
R10;Torilis arvensis;Herbacée;1
R10;Urtica dioica;Herbacée;2
R11;Acer campestre;Arborée;1
R11;Acer monspessulanum;Arborée;2
R11;Asparagus acutifolius;Herbacée;1
R11;Brachypodium sylvaticum;Herbacée;+
R11;Celtis australis;Herbacée;+
R11;Clematis flammula;Herbacée;+
R11;Clematis vitalba;Herbacée;+
R11;Crataegus monogyna;Herbacée;+
R11;Euonymus europaeus;Herbacée;+
R11;Hedera helix;Arborée;2
R11;Hedera helix;Herbacée;5
R11;Laurus nobilis;Arborée;1
R11;Laurus nobilis;Herbacée;+
R11;Orobanche hederae;Herbacée;1
R11;Quercus ilex;Arborée;4
R11;Quercus ilex;Herbacée;1
R11;Rubia peregrina;Herbacée;1
R11;Ruscus aculeatus;Herbacée;1
R11;Smilax aspera;Arborée;2
R11;Smilax aspera;Herbacée;3
R11;Ulmus minor;Arborée;+
R11;Viburnum tinus;Herbacée;+
R12;Anisantha diandra;Herbacée;1
R12;Anisantha madritensis;Herbacée;2
R12;Anisantha rubens;Herbacée;2
R12;Carduus pycnocephalus;Herbacée;+
R12;Centaurea melitensis;Herbacée;+
R12;Chondrilla juncea;Herbacée;+
R12;Hordeum murinum;Herbacée;3
R12;Lepidium draba;Herbacée;2
R12;Malva sylvestris;Herbacée;+
R12;Onobrychis viciifolia;Herbacée;+
R12;Onopordum illyricum;Herbacée;1
R12;Plantago lagopus;Herbacée;2
R12;Scolymus hispanicus;Herbacée;+
R12;Silene vulgaris;Herbacée;+
R12;Silybum marianum;Herbacée;2
R12;Sonchus asper subsp. asper;Herbacée;1
R12;Sonchus oleraceus;Herbacée;2
R12;Urospermum picroides;Herbacée;1
R13;Ajuga iva;Herbacée;+
R13;Carex halleriana;Herbacée;+
R13;Catapodium rigidum;Herbacée;+
R13;Chondrilla juncea;Herbacée;+
R13;Cistus albidus;Herbacée;4
R13;Dactylis glomerata;Herbacée;+
R13;Hypericum perforatum;Herbacée;
R13;Poterium verrucosum;Herbacée;+
R13;Quercus ilex;Herbacée;1
R13;Ruta montana;Herbacée;+
R14;Achillea millefolium;Herbacée;2
R14;Arrhenatherum elatius;Herbacée;3
R14;Centaurea jacea;Herbacée;+
R14;Daucus carota;Herbacée;2
R14;Galium mollugo;Herbacée;2
R14;Lotus corniculatus;Herbacée;2
R14;Medicago lupulina;Herbacée;+
R14;Picris hieracioides;Herbacée;+
R14;Plantago lanceolata;Herbacée;2
R14;Rumex crispus;Herbacée;+
R14;Sorghum halepense;Herbacée;1
R14;Trifolium patens;Herbacée;+
R14;Trifolium pratense;Herbacée;2
R15;Avena sterilis;Herbacée;+
R15;Blackstonia perfoliata;Herbacée;+
R15;Brachypodium retusum;Herbacée;3
R15;Catapodium rigidum;Herbacée;
R15;Dactylis glomerata;Herbacée;1
R15;Filago pyramidata;Herbacée;+
R15;Osyris alba;Herbacée;2
R15;Pallenis spinosa;Herbacée;+
R15;Scorpiurus subvillosus;Herbacée;2
R16;Blackstonia perfoliata;Herbacée;+
R16;Brachypodium phoenicoides;Herbacée;4
R16;Carduus pycnocephalus;Herbacée;2
R16;Clematis flammula;Herbacée;+
R16;Dactylis glomerata;Herbacée;+
R16;Echium vulgare;Herbacée;+
R16;Euphorbia serrata;Herbacée;+
R16;Lotus hirsutus;Herbacée;2
R16;Osyris alba;Herbacée;+
R16;Picris hieracioides;Herbacée;+
R16;Plantago lanceolata;Herbacée;+
R16;Scorpiurus subvillosus;Herbacée;3
R16;Silybum marianum;Herbacée;+
R17;Cirsium vulgare;Herbacée;1
R17;Convolvulus sepium;Herbacée;1
R17;Cornus sanguinea;Herbacée;2
R17;Lotus rectus;Herbacée;+
R17;Phragmites australis;Herbacée;5
R17;Picris hieracioides;Herbacée;+
R17;Robinia pseudoacacia;Arbustive;+
R17;Rubus ulmifolius;Herbacée;3
R18;Atriplex prostrata;Herbacée;+
R18;Oenanthe lachenalii;Herbacée;+
R18;Phragmites australis;Herbacée;5
R18;Samolus valerandi;Herbacée;2
R18;Sonchus maritimus;Herbacée;+
R19;Arundo donax;Arbustive;2
R19;Fraxinus angustifolia;Arbustive;3
R19;Hedera helix;Herbacée;+
R19;Laurus nobilis;Herbacée;+
R19;Phragmites australis;Herbacée;3
R19;Populus alba;Arbustive;2
R19;Rubus ulmifolius;Herbacée;3
R19;Spartium junceum;Arbustive;+
R19;Ulmus minor;Arbustive;+
R2;Anisantha diandra;Herbacée;2
R2;Anisantha madritensis;Herbacée;2
R2;Anisantha rubens;Herbacée;2
R2;Avena barbata subsp. barbata;Herbacée;2
R2;Carduus pycnocephalus;Herbacée;+
R2;Catapodium rigidum;Herbacée;1
R2;Clematis flammula;Herbacée;+
R2;Clinopodium nepeta;Herbacée;+
R2;Crepis sancta;Herbacée;+
R2;Crepis vesicaria subsp. taraxacifolia;Herbacée;+
R2;Erodium ciconium;Herbacée;+
R2;Erodium malacoides;Herbacée;+
R2;Eryngium campestre;Herbacée;+
R2;Euphorbia characias;Herbacée;+
R2;Euphorbia helioscopia;Herbacée;+
R2;Hordeum murinum;Herbacée;2
R2;Hypericum perforatum;Herbacée;+
R2;Medicago polymorpha;Herbacée;2
R2;Rostraria cristata;Herbacée;1
R2;Scabiosa atropurpurea;Herbacée;2
R2;Sonchus asper subsp. asper;Herbacée;+
R2;Urospermum dalechampii;Herbacée;+
R2;Urospermum picroides;Herbacée;1
R2;Verbascum sinuatum;Herbacée;+
R2;Vulpia ciliata;Herbacée;+
R20;Carex elata;Herbacée;1
R20;Carex pseudocyperus;Herbacée;2
R20;Cladium mariscus;Herbacée;2
R20;Convolvulus sepium;Herbacée;2
R20;Cyperus fuscus;Herbacée;1
R20;Epilobium hirsutum;Herbacée;+
R20;Equisetum ramosissimum;Herbacée;2
R20;Euphorbia hirsuta;Herbacée;1
R20;Galium palustre;Herbacée;2
