Nom;Altitude;Pente;Recouvrement_arboree;Recouvrement_arbustive;Recouvrement_herbacee;Hauteur_arboree;Hauteur_arbustive;Hauteur_herbacee
R1;107;0;0;0;100;0;0;70
R10;38;0;70;0;100;1200;0;55
R11;38;0;80;0;0;1250;0;30
R12;75;5;0;0;35;0;0;70
R13;63;0;0;0;60;0;0;50
R14;51;0;0;0;100;0;0;60
R15;7;0;0;0;50;0;0;25
R16;7;0;0;0;100;0;0;70
R17;7;0;0;10;100;0;400;200
R18;7;0;0;0;100;0;0;200
R19;12;0;0;55;80;0;500;200
R2;123;0;0;0;95;0;0;30
R20;12;0;0;0;100;0;0;200
R21;71;90;0;0;5;0;0;20
R22;49;0;0;0;0;0;0;30
R23;45;0;0;0;100;0;0;20
R24;-4;0;0;0;50;0;0;25
R26;-2;0;90;50;50;1200;500;70
R27;80;0;25;65;25;800;300;30
R28;82;0;0;0;15;0;0;30
R29;85;0;0;100;20;0;150;25
R3;119;0;0;25;65;0;80;15
R30;75;90;0;0;15;0;0;30
R31;47;60;0;0;15;0;0;20
R32;29;40;0;0;20;0;0;30
R33;67;0;90;40;60;2000;500;70
R34;59;60;0;0;100;0;0;80
R35;65;0;0;50;75;0;250;50
R36;60;0;100;50;80;1200;300;20
R37;49;0;90;80;50;1500;500;30
R38;55;0;0;0;85;0;0;30
R4;61;0;0;0;90;0;0;45
R5;27;0;0;0;100;0;0;25
R6;34;0;0;0;90;0;0;5
R7;35;2;0;0;100;0;0;45
R8;35;0;0;0;30;0;0;30
R9;38;0;0;0;100;0;0;70
